;;;;;;;;;;;;;;;;;;;;;;
id;APPROVAL;AUDIT RESULT;SCORE P/N;CERTYFICATE;COLLABORATION;KLIENT;DELIVERY SCHEDULES;ID_SAP;NUMBER OF INTERFERENCE;LOCATION;PPM PERFORMANCE ;ZAKLAD;PSCR;NAME OF THE PART;PART NUMBER;;;;SUPPLIER;PART CLASIFICATION;;
13;100;100;100;100;100;VW;100;5108631;100;100;100;PSAPT;100;PROFIL 3M LISTWA TYL.DX 1.2x60x26 SLINE;880921600;;;;3M;B;;
14;100;100;100;100;100;VW;100;5108631;100;100;100;PSAPT;100;KONCOWKA ODRYWAJACA 3M 25x50MM;888994400;;;;3M;B;;
15;100;100;100;100;100;VW;100;5108631;100;100;100;PSAPT;100;KONCOWKA ODRYWAJACA 3M 8x80MM ZIELONA;888994800;;;;3M;B;;
16;100;N/A;100;100;100;STELLANTIS;100;5104678;100;100;100;PSAPT;N/A;PP 50.60L KOL.NATUR.;NLS0060202;;;;5104678    ALBIS POLSKA;C;;
17;100;N/A;100;100;100;STELLANTIS;100;5104678;100;100;100;PSCPS;N/A;LUPOLEN 3010D K.NATURAL SR.CZY;NLE0060101;;;;5104678    ALBIS POLSKA;C;;
18;100;N/A;100;100;100;STELLANTIS;100;5104678;100;100;100;PSAPT;N/A;N/D;NLS0061801;;;;5104678    ALBIS POLSKA;C;;
19;100;N/A;98;100;100;STELLANTIS;100;5100575;100;80;100;PSAPT;N/A;SPINKA MOCUJACA 3 PRZEWODY;46452829;;;;A.RAYMOND;C;;
20;100;N/A;98;100;100;STELLANTIS;100;5100575;100;80;100;PSAPT;N/A;312 SPINKA- POSZYCIE BOKU;LC392823;;;;A.RAYMOND;A;;
21;100;N/A;98;100;100;VW;100;5100575;100;80;100;PSAPT;100;4M0853582 KLAMMER 053510;885605500;;;;A.RAYMOND;A;;
22;100;N/A;98;100;100;VW;100;5100575;100;80;100;PSCPS;100;36A854451 CLIP PARAURTO 242916;881919310;;;;A.RAYMOND;A;;
23;100;N/A;98;100;100;VW;100;5100575;100;80;100;PSCPS;100;klips;881909900;;;;A.RAYMOND;A;;
24;100;N/A;98;100;100;STELLANTIS;100;5100575;100;80;100;PSCPS;N/A;169 SPREZYNKA MOCOWANIA OSL. / 846 SPINK;46790807;;;;A.RAYMOND;C;;
25;100;N/A;98;100;100;STELLANTIS;100;5100575;100;80;100;PSCPS;N/A;846MCA SPINKA MOCUJACA;50530644;;;;A.RAYMOND;C;;
26;100;N/A;98;100;100;STELLANTIS;100;5100575;100;80;100;PSCPS;N/A;846MCA SPINKA MOCUJACA ODM-4691;52048155;;;;A.RAYMOND;A;;
27;100;N/A;98;100;100;STELLANTIS;100;5100575;100;80;100;PSCPS;N/A;169 SPINKA POD WKRET 4,8 / 846 SP. P. W.;60588997;;;;A.RAYMOND;C;;
28;100;N/A;98;100;100;STELLANTIS;100;5100575;100;80;100;PSCPS;N/A;SPREZYNKA ZASLEPKI;77639240;;;;A.RAYMOND;C;;
29;100;N/A;98;100;100;STELLANTIS;100;5100575;100;80;100;PSCPS;N/A;169 SPINKA POD WKRET 3,5;7784831;;;;A.RAYMOND;C;;
30;100;N/A;98;100;100;STELLANTIS;100;5100575;100;80;100;PSCPS;N/A;MOLLETTA ELASTICA;LC373109;;;;A.RAYMOND;C;;
31;100;N/A;98;100;100;VW;100;5100575;100;80;100;PSCPS;N/A;4M8.853.909 CLIP GIALLA;881909900;;;;A.RAYMOND;C;;
32;100;N/A;98;100;100;VW;100;5100575;100;80;100;PSCPS;N/A;36A854451 CLIP PARAURTO 242916;881919310;;;;A.RAYMOND;C;;
33;100;N/A;98;100;100;STELLANTIS;100;5100575;100;80;100;PSAPT;N/A;SworzeN PERNO FIX 204213.0000;13051148;;;;A.RAYMOND;B;;
34;100;N/A;98;100;100;STELLANTIS;100;5100575;100;80;100;PSAPT;N/A;BLOKADA T846 DIS 011959002;13051455;;;;A.RAYMOND;B;;
35;100;N/A;98;100;100;STELLANTIS;100;5100575;100;80;100;PSAPT;N/A;X250 SPINKA METALOWA PN 011967007;13052146;;;;A.RAYMOND;B;;
36;100;N/A;98;100;100;STELLANTIS;100;5100575;100;80;100;PSAPT;N/A;X250 STARLOCK PODKLADKA ZABEZPIECZAJACA;885403300;;;;A.RAYMOND;B;;
37;100;N/A;82;100;100;VW;0;5109912;100;50;100;PSAPT;100;Q8 4M8.853.505.B LISTWA PRZ.SX CARBON;884530110;;;;ACTION COMP.;B;;
38;100;N/A;82;100;100;VW;0;5109912;100;50;100;PSAPT;100;Q8 4M8.853.506.B LISTWA PRZ.DX CARBON;884530210;;;;ACTION COMP.;B;;
39;100;N/A;82;100;100;VW;0;5109912;100;50;100;PSAPT;100;Q8 4M8.853.525.B LISTWA TYL.SX CARBON;884530310;;;;ACTION COMP.;B;;
40;100;N/A;82;100;100;VW;0;5109912;100;50;100;PSAPT;100;Q8 4M8.853.526.B LISTWA TYL.DX CARBON;884530410;;;;ACTION COMP.;B;;
41;100;100;74;100;0;STELLANTIS;100;5100584;0;80;100;PSAPT;N/A;846 GUARNIZIONE CONDOTTO ARIA LATERALE;LC393958;;;;CFITALIA;C;;
42;100;100;60;100;0;STELLANTIS;100;5100584;0;80;0;PSAPT;N/A;846 GUARNIZIONE CONDOTTO ARIA CX SX;LC393959;;;;CFITALIA;C;;
43;100;100;74;100;0;STELLANTIS;100;5100584;0;80;100;PSAPT;N/A;846 GUARNIZIONE CONDOTTO ARIA CX DX;LC393960;;;;CFITALIA;C;;
44;100;100;98;100;100;STELLANTIS;100;5100584;100;80;100;PSAPT;N/A;GUARNIZIONE 846 G.SX;2588460076;;;;CFITALIA;C;;
45;100;N/A;100;100;100;STELLANTIS;100;5100584;100;100;100;PSAPT;N/A;312 PIANKA ANTYWIBRACYJNA 80x45x45;LC396020;;;;ADLER POLSKA;B;;
46;100;N/A;100;100;100;STELLANTIS;100;5100584;100;100;100;PSAPT;N/A;169 FILTR GORNY 38.7 X 13.5;LC367910;;;;ADLER POLSKA;C;;
47;100;N/A;100;100;100;STELLANTIS;100;5100584;100;100;100;PSAPT;N/A;169 FILTR GORNY 53.5 X 38.7;LC388100;;;;ADLER POLSKA;C;;
48;100;N/A;100;100;100;STELLANTIS;100;5100584;100;100;100;PSAPT;N/A;312 USZCZELNIENIE;LC392709;;;;ADLER POLSKA;B;;
49;100;N/A;100;100;100;STELLANTIS;100;5100584;100;100;100;PSAPT;N/A;169 USZCZELKA WLOTU POWIETRZA;LC351706;;;;ADLER POLSKA;B;;
50;100;N/A;98;100;100;STELLANTIS;100;5106708;100;80;100;PSCPS;N/A;312MCA KANAL ROZDM. CENTR.KPL. DESKA GSX;51952920;;;;AD PLASTIK;C;;
51;100;N/A;98;100;100;STELLANTIS;100;5106708;100;80;100;PSCPS;N/A;312MCA KANAL ROZDM. DX KPL. DESKA GSX;51952921;;;;AD PLASTIK;C;;
52;100;N/A;98;100;100;STELLANTIS;100;5106708;100;80;100;PSCPS;N/A;312MCA KANAL ROZDM. SX KPL. DESKA GSX;51952922;;;;AD PLASTIK;C;;
53;100;N/A;98;100;100;STELLANTIS;100;5106708;100;80;100;PSCPS;N/A;312MCA KANAL ROZDM. CENTR.KPL. DESKA GDX;52010404;;;;AD PLASTIK;C;;
54;100;N/A;98;100;100;STELLANTIS;100;5106708;100;80;100;PSCPS;N/A;312MCA KANAL ROZDM. DX KPL. DESKA GDX;52010405;;;;AD PLASTIK;C;;
55;100;N/A;98;100;100;STELLANTIS;100;5106708;100;80;100;PSCPS;N/A;312MCA KANAL ROZDM. SX KPL. DESKA GDX;52010406;;;;AD PLASTIK;C;;
56;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;579658 DEEPBLACK AU C9X  22K ESB-585;158012546;;;;AKZO;A;;
57;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;579655 DAYTONAGRAU AU Z7S 22K ESB-585;158212238;;;;AKZO;A;;
58;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;538052 VERNICE NAVARRABLAU X5H;158112760;;;;AKZO;A;;
59;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;579656 TIEFSCHWARZ AU 041 22K ESB-587;158011595;;;;AKZO;A;;
60;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;553945 VERNICE GALAXISBLAU V5Z;158112759;;;;AKZO;A;;
61;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;583931 SAMURAIGRAU AU M7Q 22K ESB-585;158212237;;;;AKZO;A;;
62;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;579553 PURE WHITE AU C9A 22K ESB-587;158011114;;;;AKZO;A;;
63;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;58513310 VERNICE MET. FLORETTSILBER Z7G;158212222;;;;AKZO;A;;
64;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;554664 VERNICE DRACHENORANGE Y2Y;158012336;;;;AKZO;A;;
65;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;ESB-585 VIKUNJABEIGE AU L1X SOLESPA 22K;158212255;;;;AKZO;A;;
66;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;579696 BARRIQUEBRAUN AU M8Y 22K ESB-585;158012431;;;;AKZO;A;;
67;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;583099 MATADORROT AU Y3S 22K ESB-585;158012690;;;;AKZO;A;;
68;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;555874 VERNICE SCANDIUMGRAU 3HK;158212239;;;;AKZO;A;;
69;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;562166 VERNICE MANHATTANGRAU X7L;158011278;;;;AKZO;A;;
70;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;VERNICE NARDOGRAU Y7C;158212260;;;;AKZO;A;;
71;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;58513311 VERNICE MET. MYTHOSSCHWARZ Y9T;158012551;;;;AKZO;A;;
72;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;UNIPRIMER;158011274;;;;AKZO;A;;
73;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;UTWARDZACZ X UNIPRIMER +TRANSPARENT;158030084;;;;AKZO;A;;
74;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;ROZCIENCZALNIK X PODKLAD;158120011;;;;AKZO;A;;
75;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;ROZCIENCZALNIK X BASE KOLORY;158020123;;;;AKZO;A;;
76;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;ROZCIENCZALNIK X BASE RALLENTANTE;158020144;;;;AKZO;A;;
77;100;N/A;98;100;100;VW;100;15000087;100;80;100;PSCPS;100;ROZCIENCZALNIK X BASE 3HK;158020089;;;;AKZO;A;;
78;100;N/A;86;0;100;STELLANTIS;100;5105108;100;100;100;PSAPT;N/A;OPASKA ZACISKOWA DO MOC.PRZEW.;LC385080;;;;ALFA ELEKTRO;C;;
79;100;N/A;98;100;100;STELLANTIS;100;5109463;100;80;100;PSCPS;N/A;KLEJ PRODAS 1400;LC392635;;;;ARKEMA;C;;
80;100;N/A;98;100;100;STELLANTIS;100;5103234;100;80;100;PSCPS;N/A;312MCA USZCZELKA PROFILOWANA L=670;5956886;;;;ATG;A;;
81;100;N/A;98;100;100;STELLANTIS;100;5103234;100;80;100;PSCPS;N/A;846 USZCZELKA PROFILOWANA L=666 DEFR.;LC393891;;;;ATG;A;;
82;100;N/A;98;100;100;STELLANTIS;100;5103234;100;80;100;PSCPS;N/A;846 USZCZELKA PROFILOWANA L=655 RACC.;LC393968;;;;ATG;A;;
83;100;N/A;98;100;100;STELLANTIS;100;5104218;100;80;100;PSCPS;N/A;PP 55.100 UL NERO 808;N403205808;;;;BASELL;C;;
84;100;N/A;98;100;100;STELLANTIS;100;5104218;100;80;100;PSCPS;N/A;PP 50.400 LCE SR AF NERO;N415001000;;;;BASELL;C;;
85;100;N/A;98;100;100;STELLANTIS;100;5104218;100;80;100;PSCPS;N/A;LUPOLEN 3010D K.NATURAL SR.CZY;NLE0060101;;;;BASELL;C;;
86;100;N/A;98;100;100;STELLANTIS;100;5104218;100;80;100;PSCPS;N/A;PP 55.290 LCE L NERO;40198003;;;;BASELL;C;;
87;100;N/A;98;100;100;STELLANTIS;100;5104218;100;80;100;PSCPS;N/A;Hifax TYC 258X BLACK, BG25HT;167711057;;;;BASELL;C;;
88;100;N/A;98;100;100;STELLANTIS;100;5104218;100;80;100;PSCPS;N/A;Hifax TYC 459P G22866, OTOPHT;167711061;;;;BASELL;C;;
89;100;N/A;98;100;100;STELLANTIS;100;5104218;100;80;100;PSCPS;N/A;PP 150.80 GF30 KOL.NERO;NLS0061802;;;;BASELL;C;;
90;100;N/A;98;100;100;STELLANTIS;100;5109930;100;80;100;PSAPT;N/A;ULTRAMID B3E2G6  (PA6 30 GF);NLS8000300;;;;BASF POLSKA;C;;
91;100;N/A;98;100;100;STELLANTIS;100;5100579;100;80;100;PSAPT;N/A;FERMAGLIO D14-11064374-T.12252;LC500125;;;;BDV;C;;
92;100;N/A;100;100;100;STELLANTIS;100;5108903;100;100;100;PSAPT;N/A;250 KORPUS WLOTU BOCZNEGO DX;LS385817;;;;BILPLAST;C;;
93;100;N/A;100;100;100;STELLANTIS;100;5108903;100;100;100;PSAPT;N/A;250 KORPUS WLOTU BOCZNEGO SX;LS385822;;;;BILPLAST;C;;
94;100;N/A;98;100;100;VW;100;5108319;100;80;100;PSAPT;100;PROFIL 3M NADKOLE DRZWI DX RS;880922200;;;;BMP;B;;
95;100;N/A;98;100;100;VW;100;5108319;100;80;100;PSAPT;100;PROFIL 3M NADKOLE DRZWI SX RS;880922300;;;;BMP;B;;
96;100;N/A;98;100;100;VW;100;5108319;100;80;100;PSAPT;100;PROFIL 3M NAD.TYLNE SX GR2.4 BASIS/SLINE;880922500;;;;BMP;B;;
97;100;N/A;98;100;100;VW;100;5108319;100;80;100;PSAPT;100;PROFIL 3M NADKOLE TYLNE SX GR.1.2 RS;880923700;;;;BMP;B;;
98;100;N/A;98;100;100;VW;100;5108319;100;80;100;PSAPT;100;PROFIL 3M NADKOLE TYLNE DX GR.1.2 RS;880923800;;;;BMP;B;;
99;100;N/A;98;100;100;VW;100;5108319;100;80;100;PSAPT;100;PROFIL 3M NAD.TYLNE DX GR2.4 BASIS/SLINE;880922600;;;;BMP;B;;
100;100;N/A;98;100;100;VW;100;5105916;100;80;100;PSAPT;100;PERNO FILETTATO M6X32 GSX;2588460023;;;;BOLLHOFF;C;;
101;100;N/A;98;100;100;STELLANTIS;100;5107205;100;80;100;PSAPT;N/A;PP 140.80 KOL.808;NLS0061601;;;;BOREALIS AG;C;;
102;100;N/A;98;100;100;STELLANTIS;100;5107205;100;80;100;PSCPS;N/A;PP 53.130SRL KOL. 808;NLS0061107-S;;;;BOREALIS AG;C;;
103;100;N/A;98;100;100;STELLANTIS;100;5107205;100;80;100;PSCPS;N/A;PP 50.400 LCE SR AF L NERO 831 UV STAB;N415001831;;;;BOREALIS AG;C;;
104;100;N/A;98;100;100;STELLANTIS;100;5107205;100;80;100;PSCPS;N/A;PP 48.380 KOL.808;NLS0060903-O;;;;BOREALIS AG;C;;
105;100;N/A;98;100;100;STELLANTIS;100;5107205;100;80;100;PSCPS;N/A;PP 48.380L KOL.808;NLS0060901-O;;;;BOREALIS AG;C;;
106;100;N/A;98;100;100;STELLANTIS;100;5107205;100;80;100;PSCPS;N/A;PP 50.400 LCE SR AF L NERO 831;N415001831;;;;BOREALIS AG;C;;
107;100;N/A;98;100;100;STELLANTIS;100;5107205;100;80;100;PSCPS;N/A;PP 48.380L KOL.808;NLS0060901-O;;;;BOREALIS AG;C;;
108;100;N/A;98;100;100;STELLANTIS;100;5107205;100;80;100;PSCPS;N/A;PP 48.380L KOL.808;NLS0060901-S;;;;BOREALIS AG;C;;
109;100;N/A;98;100;100;STELLANTIS;100;5107205;100;80;100;PSCPS;N/A;PP 48.380 KOL.808;NLS0060903-O;;;;BOREALIS AG;C;;
110;100;N/A;98;100;100;STELLANTIS;100;5107205;100;80;100;PSCPS;N/A;PP 48.450 AFU L KOLOR.831;NLS0060906-S;;;;BOREALIS AG;C;;
111;100;N/A;98;100;100;STELLANTIS;100;5107205;100;80;100;PSCPS;N/A;PP 53.130SRL KOL. 808;NLS0061107-S;;;;BOREALIS AG;C;;
112;100;N/A;98;100;100;STELLANTIS;100;5107205;100;80;100;PSCPS;N/A;PP 55.290 LCE KOL.808;NLS0061900-S;;;;BOREALIS AG;C;;
113;100;N/A;98;100;100;STELLANTIS;100;5105367;100;80;100;PSAPT;N/A;312 GAC 1.4 TURBO;51818016;;;;BOSCH GMBH;C;;
114;100;N/A;98;100;100;STELLANTIS;100;5105367;100;80;100;PSAPT;N/A;Gasoline pump  846;52041232;;;;BOSCH GMBH;C;;
115;100;N/A;98;100;100;STELLANTIS;100;5105367;100;80;100;PSAPT;N/A;846 GAC BZ TURBO;51836523;;;;BOSCH GMBH;C;;
116;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSAPT;N/A;637 NAKLADKA WLOTU CENTRALN. DX kol.605;LS393999/v605;;;;BUDCHEM;C;;
117;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSAPT;N/A;637 NAKLADKA WLOTU CENTRALN. SX kol.605;LS394000/v605;;;;BUDCHEM;C;;
118;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSAPT;N/A;637 NAKLADKA WLOTU BOCZNEGO DX kol.605;LS394001/v605;;;;BUDCHEM;C;;
119;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSAPT;N/A;637 NAKLADKA WLOTU BOCZNEGO SX kol.605;LS394002/v605;;;;BUDCHEM;C;;
120;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;312 DJ LIST BOCZ DX K656/B;735480643;;;;BUDCHEM;B;;
121;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;312 DJ LIST BOCZ SX K656/B;735480644;;;;BUDCHEM;B;;
122;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;312 DJ LISTWA TYL k656/B;735480739/L;;;;BUDCHEM;B;;
123;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;312 DJ NAKLA GORN SX;735484029/L;;;;BUDCHEM;B;;
124;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;312 DJ NAKLA GORN DX;735484030/L;;;;BUDCHEM;B;;
125;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;312 DJ ZASL TYL k656/B;735484131/L;;;;BUDCHEM;B;;
126;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.111;735490556/111;;;;BUDCHEM;B;;
127;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.227;735490556/227;;;;BUDCHEM;B;;
128;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.268;735490556/268;;;;BUDCHEM;B;;
129;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.323;735490556/323;;;;BUDCHEM;B;;
130;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.372;735490556/372;;;;BUDCHEM;B;;
131;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.608;735490556/608;;;;BUDCHEM;B;;
132;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.612;735490556/612;;;;BUDCHEM;B;;
133;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.676;735490556/676;;;;BUDCHEM;B;;
134;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.682;735490556/682;;;;BUDCHEM;B;;
135;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.687;735490556/687;;;;BUDCHEM;B;;
136;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.689;735490556/689;;;;BUDCHEM;B;;
137;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.695;735490556/695;;;;BUDCHEM;B;;
138;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.735;735490556/735;;;;BUDCHEM;B;;
139;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.876;735490556/876;;;;BUDCHEM;B;;
140;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.111;735490557/111;;;;BUDCHEM;B;;
141;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.227;735490557/227;;;;BUDCHEM;B;;
142;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.268;735490557/268;;;;BUDCHEM;B;;
143;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.323;735490557/323;;;;BUDCHEM;B;;
144;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.372;735490557/372;;;;BUDCHEM;B;;
145;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.608;735490557/608;;;;BUDCHEM;B;;
146;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.612;735490557/612;;;;BUDCHEM;B;;
147;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.676;735490557/676;;;;BUDCHEM;B;;
148;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.682;735490557/682;;;;BUDCHEM;B;;
149;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.687;735490557/687;;;;BUDCHEM;B;;
150;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.689;735490557/689;;;;BUDCHEM;B;;
151;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.695;735490557/695;;;;BUDCHEM;B;;
152;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.735;735490557/735;;;;BUDCHEM;B;;
153;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.876;735490557/876;;;;BUDCHEM;B;;
154;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 ZASLEPKA SPRYSK. SX KPL. CZARNY POD;735501688/L;;;;BUDCHEM;B;;
155;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846 ZASLEPKA ZD. PRZED. KPL. CZ.PODKL;735538645/L;;;;BUDCHEM;B;;
156;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846MCA GN.CZ.PARK.WEWN. DX ZD.T. K.111;735620915/111;;;;BUDCHEM;B;;
157;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846MCA GN.CZ.PARK.WEWN. DX ZD.T. K.227;735620915/227;;;;BUDCHEM;B;;
158;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846MCA GN.CZ.PARK.WEWN. DX ZD.T. K.268;735620915/268;;;;BUDCHEM;B;;
159;100;100;100;100;100;STELLANTIS;100;5108654;100;100;100;PSCPS;N/A;846MCA GN.CZ.PARK.WEWN. DX ZD.T. K.323;735620915/323;;;;BUDCHEM;B;;
